source,target,weight,parent_user,source_is_replier,target_is_replier
CarolynMoney15,internal70736,1,trump,True,False
Carrie15458490,SenateDems,1,aoc,True,False
CarrollDogg,Nick11894,1,trump,True,True
CarrotM60176952,SulllySullly,1,trump,True,False
CaryRyan4,DianaforQueens,1,aoc,True,False
CaryRyan4,Foxhound_N10,1,aoc,True,True
CassandraS1038,Kanph1t,2,aoc,True,False
CassandraS1038,Trplb2,1,aoc,True,False
Cat2_Dota,0hour1,1,aoc,True,False
Cathbychoice1,TheImmortal007,1,trump,True,False
CatherineRigb18,LauraLoomer,1,aoc,True,False
CatieGus,POTUS,1,aoc,True,False
Cavsfan08133644,DCTRUMPNEWS,2,trump,True,False
Cavsfan08133644,TRUMP_ARMY_,3,trump,True,False
CeeVickie1,irishironmike,1,trump,True,False
Celesteveg93103,SenateDems,1,aoc,True,False
CerridwynVaughn,LeaderJohnThune,1,trump,True,False
CerridwynVaughn,SpeakerJohnson,1,trump,True,False
Chad6988353649,SenateDems,2,aoc,True,False
Chad6988353649,SpoogemanGhost,1,aoc,True,False
Chad6988353649,TheTNHoller,1,aoc,True,False
ChadR991,mangolassi93,1,trump,True,False
ChadR991,sky_and_sunshin,1,trump,True,False
CharlieTexan,TheDemocrats,1,aoc,True,False
CharlotteInMe,F15Synch,1,trump,True,False
CharlotteS88763,gardengunguy,1,trump,True,False
ChemicalsincG1,ICEgov,1,aoc,True,False
Cheveyo_Don1224,StephenM,1,trump,True,False
Cheyenn56327917,StephenM,1,trump,True,False
ChiDowner,1975_rpc,2,aoc,True,True
ChiDowner,saras76,2,aoc,True,False
Chickenranch123,SenateDems,1,aoc,True,False
Chr0mosomeY,Nick11894,1,trump,True,True
ChrisFairfield,HRH_SHP,1,aoc,True,True
ChrisFairfield,SaintGrimace,1,aoc,True,False
ChrisFairfield,SenSchumer,1,aoc,True,False
ChrisFairfield,SenateDems,2,aoc,True,False
ChrisSchu59734,SenateDems,1,aoc,True,False
Chrissy92238798,SenSchumer,1,aoc,True,False
Chrissy92238798,SenateDems,1,aoc,True,False
Christ1TruKing,SenateDems,2,aoc,True,False
ChristianPSatt1,SenateDems,1,aoc,True,False
ChristinaHambu4,MusicTheDope,1,trump,True,True
ChristinaHambu4,SenateDems,1,aoc,True,False
Christo60913698,LibertyCappy,1,trump,True,False
Christo60913698,Sandfort_,1,trump,True,False
ChristopherJJ18,rded,1,aoc,True,False
Christos_Pheros,DianaforQueens,1,aoc,True,False
Chuck2TIW,Lara_maga47,2,trump,True,False
Chuck2TIW,RapidResponse47,2,trump,True,False
Chuck2TIW,SpencerHakimian,2,trump,True,False
Chuck2TIW,duck_pantaloon,1,trump,True,False
Chuck2TIW,joyce_kasai,1,trump,True,False
ChuckWelsh121,saras76,1,aoc,True,False
Chuck_NOLA7,Bigdaddy001sbak,1,aoc,True,True
Chuck_NOLA7,SenateDems,2,aoc,True,False
CincinnatiChief,Bubblebathgirl,3,aoc,True,True
CincinnatiChief,Desdakon,3,aoc,True,True
Cincinnati_Son,Lor_blueeyes,1,trump,True,True
Cindy0973045770,CanadianBadBoys,1,trump,True,False
CitiSam,DianaforQueens,1,aoc,True,False
